Frequency (Hz),Polyestirene,100-400 nm,60-300 nm,500-1000 nm
326.1565558,0.004907376,0.004889869,0.008275936,0.003350477
652.3131115,0.001236505,0.00176499,0.004092792,0.001271911
978.4696673,0.00077,0.000775145,0.002258508,0.000589678
1304.626223,0.000387391,0.000567251,0.001544652,0.000443647
1630.782779,0.000416808,0.000642833,0.00126394,0.00046104
1956.939335,0.000605592,0.000535575,0.000854518,0.000338233
2283.09589,0.00039497,0.000375018,0.000553648,0.000206889
2609.252446,0.000475615,0.000412632,0.000559234,0.000268498
2935.409002,0.00139713,0.00064905,0.000827362,0.000473169
3261.565558,0.003676241,0.001166742,0.001277555,0.000764173
3587.722114,0.000968797,0.000724362,0.000843513,0.000553369
3913.878669,0.000989272,0.000497132,0.000579616,0.00033949
4240.035225,0.00056507,0.00046983,0.000484256,0.000294118
4566.191781,0.000470807,0.000615696,0.000682606,0.000423092
4892.348337,0.000583146,0.000715563,0.000846271,0.000561856
5218.504892,0.000245368,0.000628288,0.000668159,0.000469738
5544.661448,0.000124973,0.000379325,0.000377971,0.000255434
5870.818004,0.000127767,0.000312918,0.000287023,0.00019444
6196.97456,0.000239852,0.00052562,0.000504365,0.000339882
6523.131115,0.000275902,0.000750653,0.000761295,0.000528315
6849.287671,0.00017433,0.000703768,0.000742994,0.0005316
7175.444227,9.0249E-05,0.000493993,0.000510043,0.000357879
7501.600783,7.55712E-05,0.000423387,0.000421734,0.000254486
7827.757339,0.000115015,0.000573406,0.000559535,0.000357722
8153.913894,0.00010647,0.000797722,0.000752213,0.000501253
8480.07045,4.70827E-05,0.000727578,0.000720763,0.000493181
8806.227006,2.9005E-05,0.000502753,0.00045394,0.000323081
9132.383562,2.81842E-05,0.000323604,0.000303411,0.000224453
9458.540117,3.89346E-05,0.000437121,0.000456545,0.00034267
9784.696673,6.22348E-05,0.000685952,0.000776525,0.000583522
10110.85323,5.76869E-05,0.000774915,0.000891242,0.0007361
10437.00978,3.81437E-05,0.000621643,0.000735642,0.000548059
10763.16634,2.30634E-05,0.000471562,0.000548498,0.000451006
11089.3229,2.0717E-05,0.000510286,0.000796851,0.000365526
11415.47945,2.50783E-05,0.000681228,0.000887131,0.000499451
11741.63601,3.90015E-05,0.000754542,0.001075106,0.000561484
12067.79256,4.84812E-05,0.000710574,0.000839506,0.000501471
12393.94912,5.39912E-05,0.000628149,0.000674027,0.000409618
12720.10568,5.73924E-05,0.000646235,0.000506549,0.000371084
13046.26223,4.05658E-05,0.000659458,0.000526324,0.000408317
13372.41879,2.66573E-05,0.000606392,0.000583762,0.000457786
13698.57534,3.37851E-05,0.000552181,0.000644752,0.000479165
14024.7319,3.43709E-05,0.000588165,0.000670036,0.000459802
14350.88845,5.49218E-05,0.000654396,0.000634204,0.000470698
14677.04501,8.32302E-05,0.000667039,0.000687645,0.000425052
15003.20157,0.000111423,0.000672404,0.000697425,0.000421157
15329.35812,0.000116073,0.000730705,0.000848313,0.000499173
15655.51468,0.000117405,0.000827344,0.000931218,0.000562988
15981.67123,0.000109544,0.000791596,0.000790714,0.000527702
16307.82779,8.49908E-05,0.000584597,0.000580296,0.000367787
16633.98434,7.6091E-05,0.000413296,0.000363412,0.000241352
16960.1409,8.75691E-05,0.000492334,0.000435292,0.000287938
17286.29746,8.04533E-05,0.000712473,0.000653783,0.00042442
17612.45401,7.84247E-05,0.000769339,0.000710683,0.000475424
17938.61057,5.4932E-05,0.000551422,0.000501211,0.000331622
18264.76712,2.98821E-05,0.000293779,0.000254771,0.000177592
18590.92368,2.18877E-05,0.000341076,0.000304494,0.000207833
18917.08023,2.64611E-05,0.000592624,0.000571037,0.000385484
19243.23679,4.47823E-05,0.000778073,0.000737026,0.000490446
19569.39335,7.77533E-05,0.000649261,0.000688851,0.000464891
19895.5499,8.48841E-05,0.000434805,0.000432986,0.000280964
20221.70646,0.000108117,0.000384723,0.000461092,0.0002977
20547.86301,9.66716E-05,0.000641645,0.000612798,0.000427262
20874.01957,9.84714E-05,0.000780368,0.000780018,0.000529097
21200.17613,0.000108454,0.000657836,0.000565076,0.000385079
21526.33268,9.52986E-05,0.000376894,0.000290733,0.000204549
21852.48924,0.000105443,0.000279104,0.000214535,0.000147781
22178.64579,0.000103034,0.000451535,0.000404545,0.000271022
22504.80235,8.29602E-05,0.000771034,0.000691994,0.000476451
22830.9589,6.3779E-05,0.000673398,0.000627076,0.000426264
23157.11546,3.0338E-05,0.000502888,0.000422683,0.00030975
23483.27202,2.23015E-05,0.000366094,0.000345509,0.000234205
23809.42857,2.43465E-05,0.000578993,0.000486305,0.000368403
24135.58513,2.67331E-05,0.000724392,0.000643433,0.000425775
24461.74168,2.28878E-05,0.000740587,0.000769873,0.000552137
24787.89824,1.80147E-05,0.000400402,0.000390099,0.000261543
25114.05479,8.4842E-06,0.000263724,0.000244065,0.000186814
25440.21135,1.1704E-05,0.000261655,0.000256693,0.000170249
25766.36791,1.98279E-05,0.000410432,0.00039913,0.000273205
26092.52446,2.34817E-05,0.000444451,0.00046519,0.000309446
26418.68102,2.16084E-05,0.000271847,0.000352548,0.000215958
26744.83757,1.50426E-05,0.000248369,0.000331863,0.000198573
27070.99413,1.53362E-05,0.000459246,0.000461596,0.000297238
27397.15068,2.11959E-05,0.000712198,0.000666928,0.000455459
27723.30724,2.20062E-05,0.00069983,0.000629145,0.000437399
28049.4638,1.20716E-05,0.000512271,0.000465572,0.00031656
28375.62035,1.39764E-05,0.00022636,0.00029043,0.000183803
28701.77691,2.06147E-05,0.00025208,0.000286278,0.000195931
29027.93346,2.19555E-05,0.000362848,0.000378376,0.000260203
29354.09002,1.37801E-05,0.000388861,0.000298694,0.000231566
29680.24658,6.51207E-06,0.00025945,0.000203306,0.000138149
30006.40313,7.33219E-06,0.000224629,0.00023081,0.000163662
30332.55969,1.88108E-05,0.000461109,0.000490325,0.00034328
30658.71624,3.29291E-05,0.000749887,0.000781067,0.000536306
30984.8728,3.42865E-05,0.000833075,0.000774132,0.000525637
